ID,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
2,106.025,6645,483,3,82,15,Female,Yes,Yes,Asian,903
3,104.593,7075,514,4,71,11, Male,No,No,Asian,580
4,148.924,9504,681,3,36,11,Female,No,No,Asian,964
5,55.882,4897,357,2,68,16, Male,No,Yes,Caucasian,331
6,80.18,8047,569,4,77,10, Male,No,No,Caucasian,1151
8,71.408,7114,512,2,87,9, Male,No,No,Asian,872
10,71.061,6819,491,3,41,19,Female,Yes,Yes,African American,1350
11,63.095,8117,589,4,30,14, Male,No,Yes,Caucasian,1407
13,80.616,5308,394,1,57,7,Female,No,Yes,Asian,204
14,43.682,6922,511,1,49,9, Male,No,Yes,Caucasian,1081
17,53.598,3714,286,3,73,17,Female,No,Yes,African American,0
18,36.496,4378,339,3,69,15,Female,No,Yes,Asian,368
20,42.079,6626,479,2,44,9, Male,No,No,Asian,1048
22,37.348,6378,458,1,72,17,Female,No,No,Caucasian,968
24,64.027,5179,398,5,48,8, Male,No,Yes,African American,411
27,42.471,3625,289,6,44,12,Female,Yes,No,Caucasian,654
28,32.793,4534,333,2,44,16, Male,No,No,African American,467
29,186.634,13414,949,2,41,14,Female,No,Yes,African American,1809
31,34.142,5666,413,4,47,5,Female,No,Yes,Caucasian,863
33,134.181,7838,563,2,48,13,Female,No,No,Caucasian,526
34,31.367,1829,162,4,30,10, Male,No,Yes,Caucasian,0
37,62.413,6457,455,2,71,11,Female,No,Yes,Caucasian,762
38,30.007,6481,462,2,69,9,Female,No,Yes,Caucasian,1093
41,34.95,3327,253,3,54,14,Female,No,No,African American,50
42,113.659,7659,538,2,66,15, Male,Yes,Yes,African American,1155
43,44.158,4763,351,2,66,13,Female,No,Yes,Asian,385
46,77.38,7569,564,3,50,12,Female,No,Yes,Caucasian,997
48,44.646,4431,320,2,49,15, Male,Yes,Yes,Caucasian,797
49,44.522,2252,205,6,72,15, Male,No,Yes,Asian,0
50,43.479,4569,354,4,49,13, Male,Yes,Yes,African American,902
51,36.362,5183,376,3,49,15, Male,No,Yes,African American,654
53,44.205,5441,394,1,32,12, Male,No,Yes,Caucasian,607
56,32.916,1786,154,2,60,8,Female,No,Yes,Asian,0
57,57.1,4742,372,7,79,18,Female,No,Yes,Asian,379
58,76.273,4779,367,4,65,14,Female,No,Yes,Caucasian,133
60,51.872,5294,390,4,81,17,Female,No,No,Caucasian,531
61,35.51,5198,364,2,35,20,Female,No,No,Asian,631
63,30.682,1671,160,2,77,7,Female,No,No,Caucasian,0
65,32.164,2937,223,2,79,15,Female,No,Yes,African American,0
67,113.829,9704,694,4,38,13,Female,No,Yes,Asian,1388
70,49.502,6819,505,4,55,14, Male,No,Yes,Caucasian,1084
72,58.781,7402,538,2,81,12,Female,No,Yes,Asian,1103
77,30.622,3293,251,1,68,16, Male,Yes,No,Caucasian,532
79,110.968,6662,468,3,45,11,Female,No,Yes,Caucasian,391
82,53.48,4263,317,1,83,15, Male,No,No,Caucasian,99
85,43.54,2906,232,4,69,11, Male,No,No,Caucasian,0
86,152.298,12066,828,4,41,12,Female,No,Yes,Asian,1779
87,55.367,6340,448,1,33,15, Male,No,Yes,Caucasian,815
90,59.53,7518,543,3,52,9,Female,No,No,African American,1176
92,48.498,6040,456,3,47,16, Male,No,Yes,Caucasian,812
93,30.733,2832,249,4,51,13, Male,No,No,Caucasian,0
95,38.009,3075,245,3,45,15,Female,No,No,African American,0
99,36.295,2963,241,2,68,14,Female,Yes,No,African American,375
100,83.851,8494,607,5,47,18, Male,No,No,Caucasian,1311
103,68.713,7582,531,2,56,16, Male,Yes,No,Caucasian,1587
104,146.183,9540,682,6,66,15, Male,No,No,Caucasian,1050
108,39.11,3189,263,3,72,12, Male,No,No,Asian,0
109,107.986,6033,449,4,64,14, Male,No,Yes,Caucasian,227
111,34.537,3271,250,3,57,17,Female,No,Yes,Asian,47
113,46.007,6637,491,4,42,14, Male,No,Yes,Caucasian,1046
114,69.251,6386,474,4,30,12,Female,No,Yes,Asian,768
116,40.442,4828,369,5,81,8,Female,No,No,African American,510
